HTTrack3.49-2 launched on Fri, 14 Oct 2022 12:22:32 at https://themes.pixelstrap.com/fastkart/html/index.html +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/*
(webhttrack -q -%i -w https://themes.pixelstrap.com/fastkart/html/index.html -O "/home/ajin/websites/fastk" -n -%P -N0 -s2 -p7 -D -a -K0 -c4 -%k -A25000 -F  -%F  +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -%s -%u )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

12:25:04	Error: 	"Not Found" (404) at link https://fonts.gstatic.com/ (from https://themes.pixelstrap.com/fastkart/html/index.html)
12:30:08	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/demo-personal-portfolio.html (from https://themes.pixelstrap.com/fastkart/html/index.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/product-left.htm (from https://themes.pixelstrap.com/fastkart/html/product-left.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/www.facebook.com (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/www.goolge.com (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/www.twitter.com (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/www.instagram.com (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/www.pinterest.com (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/term_condition.html (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/careers.html (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/vegetables-demo.html (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/spice-demo.html (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/bags-demo.html (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/bakery-demo.html (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/grocery-demo.html (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:30:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/product.left-sidebar.html (from https://themes.pixelstrap.com/fastkart/html/order-success.html)
12:30:49	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/theme/5.jpg
12:30:49	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/1.jpg
12:30:52	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/8.jpg
12:30:54	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/11.jpg
12:30:58	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/js/jquery-ui.min.js
12:30:59	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/shop/1.jpg
12:31:01	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/js/lusqsztk.js
12:31:02	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/cake/banner/1.jpg
12:31:02	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/cake/banner/2.jpg
12:31:02	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/cake/banner/3.jpg
12:31:04	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/cake/banner/4.jpg
12:31:04	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/cake/banner/9.jpg
12:31:04	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/cake/banner/10.jpg
12:31:06	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-2/banner/3.jpg
12:31:06	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-3/home/1.png
12:31:06	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-2/banner/1.jpg
12:31:06	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/cake/banner/11.jpg
12:31:08	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-3/value/2.png
12:31:10	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-3/banner/1.png
12:31:10	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-3/banner/2.png
12:31:12	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-3/blog/1.jpg
12:31:12	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-3/blog/2.jpg
12:31:12	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-3/blog/3.jpg
12:31:12	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-3/shape/background.png
12:31:15	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/veg-3/shape/basket.png
12:31:16	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/icon/paymant/discover.png
12:31:16	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/icon/paymant/american.png
12:31:18	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/grocery/banner/1.jpg
12:31:18	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/icon/paymant/master-card.png
12:31:21	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/grocery/blog/1.jpg
12:31:23	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/inner-page/blog/1.jpg
12:31:23	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/inner-page/blog/2.jpg
12:31:23	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/inner-page/blog/4.jpg
12:31:26	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/inner-page/user/2.jpg
12:31:27	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/inner-page/blog/5.jpg
12:31:30	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/inner-page/user/4.jpg
12:31:31	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/inner-page/compare/3.png
12:31:31	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/inner-page/compare/4.png
12:31:33	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://themes.pixelstrap.com/fastkart/assets/images/inner-page/cover-img.jpg
12:31:47	Warning: 	HTML file (245887 bytes) retransferred due to lack of cache: https://themes.pixelstrap.com/fastkart/html/shop-category-slider.html
12:31:48	Warning: 	HTML file (315 bytes) retransferred due to lack of cache: https://themes.pixelstrap.com/fastkart/html/www.facebook.com
12:31:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/html/www.facebook.com (from https://themes.pixelstrap.com/fastkart/html/index-4.html)
12:31:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/assets/fonts/Iconly-Broken.svg (from https://themes.pixelstrap.com/fastkart/assets/css/bulk-style.css)
12:31:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/assets/fonts/Iconly-bulk.svg (from https://themes.pixelstrap.com/fastkart/assets/css/bulk-style.css)
12:31:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/assets/svg/bag.svg (from https://themes.pixelstrap.com/fastkart/assets/css/style.css)
12:31:49	Error: 	"Not Found" (404) at link https://themes.pixelstrap.com/fastkart/assets/images/grocery/banner/11-bg.png (from https://themes.pixelstrap.com/fastkart/assets/css/style.css)

HTTrack Website Copier/3.49-2 mirror complete in 9 minutes 17 seconds : 522 links scanned, 540 files written (27568961 bytes overall) [17901055 bytes received at 32138 bytes/sec], 25965237 bytes transferred using HTTP compression in 484 files, ratio 61%, 7.2 requests per connection
(21 errors, 41 warnings, 0 messages)
